ID,date,newdate,depthcode,biosil,den,oxygen,temp,sal
C1,Dec 05 1994 12:00:00:000AM,12/5/1994,S,1.8840,21.4110,8.9591,9.3433,27.7670
C1,Dec 05 1994 12:00:00:000AM,12/5/1994,S,1.8840,21.4110,8.9591,9.3433,27.7670
C1,Jan 04 1995 12:00:00:000AM,1/4/1995,S,1.2310,21.7756,9.9304,5.4838,27.6120
C1,Jan 04 1995 12:00:00:000AM,1/4/1995,S,1.2310,21.7756,9.9304,5.4838,27.6120
C1,Feb 08 1995 12:00:00:000AM,2/8/1995,S,1.2700,21.7146,,1.9270,27.1779
C1,Feb 08 1995 12:00:00:000AM,2/8/1995,S,1.2700,21.7146,,1.9270,27.1779
C1,Mar 06 1995 12:00:00:000AM,3/6/1995,S,1.2900,21.6279,10.7983,2.3540,27.1008
C1,Mar 06 1995 12:00:00:000AM,3/6/1995,S,1.2900,21.6279,10.7983,2.3540,27.1008
C1,Apr 03 1995 12:00:00:000AM,4/3/1995,S,0.3575,21.3379,10.3430,4.8657,26.9815
C1,Apr 03 1995 12:00:00:000AM,4/3/1995,S,0.3575,21.3379,10.3430,4.8657,26.9815
C1,May 05 1995 12:00:00:000AM,5/5/1995,S,0.4125,20.0525,9.7312,11.2009,26.3952
C1,May 05 1995 12:00:00:000AM,5/5/1995,S,0.4125,20.0525,9.7312,11.2009,26.3952
C1,Jun 02 1995 12:00:00:000AM,6/2/1995,S,0.3180,19.1524,10.3023,16.2881,26.4898
C1,Jun 02 1995 12:00:00:000AM,6/2/1995,S,0.3180,19.1524,10.3023,16.2881,26.4898
C1,Nov 01 1995 12:00:00:000AM,11/1/1995,S,0.5900,,,,
C1,Nov 01 1995 12:00:00:000AM,11/1/1995,S,0.5900,,,,
C1,Dec 04 1995 12:00:00:000AM,12/4/1995,S,0.5110,,,,
C1,Dec 04 1995 12:00:00:000AM,12/4/1995,S,0.5110,,,,
C1,Feb 06 1996 12:00:00:000AM,2/6/1996,S,0.3440,,,,
C1,Feb 06 1996 12:00:00:000AM,2/6/1996,S,0.3440,,,,
C1,Mar 05 1996 12:00:00:000AM,3/5/1996,S,1.3520,,,,
C1,Mar 05 1996 12:00:00:000AM,3/5/1996,S,1.3520,,,,
C1,Nov 01 1995 12:00:00:000AM,11/1/1995,S,0.5970,21.1633,7.6748,13.1769,28.2833
C1,Nov 01 1995 12:00:00:000AM,11/1/1995,S,0.5970,21.1633,7.6748,13.1769,28.2833
C1,Dec 04 1995 12:00:00:000AM,12/4/1995,S,0.5610,21.6502,9.3799,8.0671,27.8426
C1,Dec 04 1995 12:00:00:000AM,12/4/1995,S,0.5610,21.6502,9.3799,8.0671,27.8426
C1,Feb 06 1996 12:00:00:000AM,2/6/1996,S,1.4840,21.0901,13.0136,-0.2625,26.2938
C1,Feb 06 1996 12:00:00:000AM,2/6/1996,S,1.4840,21.0901,13.0136,-0.2625,26.2938
C1,Mar 05 1996 12:00:00:000AM,3/5/1996,S,0.7140,21.1800,12.8500,0.8200,26.4500
C1,Mar 05 1996 12:00:00:000AM,3/5/1996,S,0.7140,21.1800,12.8500,0.8200,26.4500
C1,Jul 23 1996 12:00:00:000AM,7/23/1996,S,0.2580,,,,
C1,Jul 23 1996 12:00:00:000AM,7/23/1996,S,0.2580,,,,
C1,May 09 1996 12:00:00:000AM,5/9/1996,S,0.3930,18.4398,10.8018,11.0948,24.2938
C1,May 09 1996 12:00:00:000AM,5/9/1996,S,0.3930,18.4398,10.8018,11.0948,24.2938
C1,Jun 03 1996 12:00:00:000AM,6/3/1996,S,0.8180,18.3756,,14.1143,24.8990
C1,Jun 03 1996 12:00:00:000AM,6/3/1996,S,0.8180,18.3756,,14.1143,24.8990
C1,Jun 25 1996 12:00:00:000AM,6/25/1996,S,,17.3081,8.7915,18.7163,24.7938
C1,Jun 25 1996 12:00:00:000AM,6/25/1996,S,,17.3081,8.7915,18.7163,24.7938
C1,Jul 08 1996 12:00:00:000AM,7/8/1996,S,0.3140,17.1451,9.2176,19.6833,24.8854
C1,Jul 08 1996 12:00:00:000AM,7/8/1996,S,0.3140,17.1451,9.2176,19.6833,24.8854
C1,Jul 23 1996 12:00:00:000AM,7/23/1996,S,,17.2320,9.3519,19.6967,25.0041
C1,Jul 23 1996 12:00:00:000AM,7/23/1996,S,,17.2320,9.3519,19.6967,25.0041
C1,Aug 05 1996 12:00:00:000AM,8/5/1996,S,1.1760,16.2678,13.1197,23.8893,25.1918
C1,Aug 05 1996 12:00:00:000AM,8/5/1996,S,1.1760,16.2678,13.1197,23.8893,25.1918
C1,Aug 20 1996 12:00:00:000AM,8/20/1996,S,,16.8103,8.9322,22.6966,25.4726
C1,Aug 20 1996 12:00:00:000AM,8/20/1996,S,,16.8103,8.9322,22.6966,25.4726
C1,Sep 03 1996 12:00:00:000AM,9/3/1996,S,0.3550,17.0152,6.6228,23.8214,26.1577
C1,Sep 03 1996 12:00:00:000AM,9/3/1996,S,0.3550,17.0152,6.6228,23.8214,26.1577
C1,Oct 01 1996 12:00:00:000AM,10/1/1996,S,0.5700,18.6082,7.0906,18.6323,26.4750
C1,Oct 01 1996 12:00:00:000AM,10/1/1996,S,0.5700,18.6082,7.0906,18.6323,26.4750
C1,Mar 03 1997 12:00:00:000AM,3/3/1997,S,0.5600,,,,
C1,Mar 03 1997 12:00:00:000AM,3/3/1997,S,0.5600,,,,
C1,Dec 02 1996 12:00:00:000AM,12/2/1996,S,0.6890,19.9002,9.3546,8.3182,25.6495
C1,Dec 02 1996 12:00:00:000AM,12/2/1996,S,0.6890,19.9002,9.3546,8.3182,25.6495
C1,Feb 03 1997 12:00:00:000AM,2/3/1997,S,0.3600,19.6447,11.6742,2.1764,24.6049
C1,Feb 03 1997 12:00:00:000AM,2/3/1997,S,0.3600,19.6447,11.6742,2.1764,24.6049
C1,Mar 03 1997 12:00:00:000AM,3/3/1997,S,1.7460,19.4735,14.3515,3.4483,24.4857
C1,Mar 03 1997 12:00:00:000AM,3/3/1997,S,1.7460,19.4735,14.3515,3.4483,24.4857
C1,Apr 02 1997 12:00:00:000AM,4/2/1997,S,0.2580,19.3317,10.7864,5.7972,24.5549
C1,Apr 02 1997 12:00:00:000AM,4/2/1997,S,0.2580,19.3317,10.7864,5.7972,24.5549
C1,Aug 19 1997 12:00:00:000AM,8/19/1997,S,1.2800,,,,
C1,Aug 19 1997 12:00:00:000AM,8/19/1997,S,1.2800,,,,
C1,Jun 02 1997 12:00:00:000AM,6/2/1997,S,1.0580,18.4466,10.3356,14.0136,24.9661
C1,Jun 02 1997 12:00:00:000AM,6/2/1997,S,1.0580,18.4466,10.3356,14.0136,24.9661
C1,Jun 27 1997 12:00:00:000AM,6/27/1997,S,,17.2264,9.9056,19.0279,24.7837
C1,Jun 27 1997 12:00:00:000AM,6/27/1997,S,,17.2264,9.9056,19.0279,24.7837
C1,Aug 04 1997 12:00:00:000AM,8/4/1997,S,0.2780,17.0912,8.6690,22.1318,25.6425
C1,Aug 04 1997 12:00:00:000AM,8/4/1997,S,0.2780,17.0912,8.6690,22.1318,25.6425
C1,Aug 19 1997 12:00:00:000AM,8/19/1997,S,,17.8763,7.5112,21.7906,26.5601
C1,Aug 19 1997 12:00:00:000AM,8/19/1997,S,,17.8763,7.5112,21.7906,26.5601
C1,Sep 02 1997 12:00:00:000AM,9/2/1997,S,0.2800,17.9458,6.3824,21.7196,26.6269
C1,Sep 02 1997 12:00:00:000AM,9/2/1997,S,0.2800,17.9458,6.3824,21.7196,26.6269
C1,Oct 06 1997 12:00:00:000AM,10/6/1997,S,0.6730,18.9115,8.3231,18.9479,26.9726
C1,Oct 06 1997 12:00:00:000AM,10/6/1997,S,0.6730,18.9115,8.3231,18.9479,26.9726
C1,Nov 03 1997 12:00:00:000AM,11/3/1997,S,0.7410,20.4946,8.1117,14.5094,27.7539
C1,Nov 03 1997 12:00:00:000AM,11/3/1997,S,0.7410,20.4946,8.1117,14.5094,27.7539
C1,Dec 04 1997 12:00:00:000AM,12/4/1997,S,0.7880,21.8511,8.9312,7.8223,28.0574
C1,Dec 04 1997 12:00:00:000AM,12/4/1997,S,0.7880,21.8511,8.9312,7.8223,28.0574
C1,Jan 05 1998 12:00:00:000AM,1/5/1998,S,0.7910,21.7428,9.3653,4.8169,27.4873
C1,Jan 05 1998 12:00:00:000AM,1/5/1998,S,0.7910,21.7428,9.3653,4.8169,27.4873
C1,Feb 02 1998 12:00:00:000AM,2/2/1998,S,0.7390,21.2537,8.5608,3.3952,26.7198
C1,Feb 02 1998 12:00:00:000AM,2/2/1998,S,0.7390,21.2537,8.5608,3.3952,26.7198
C1,Feb 19 1998 12:00:00:000AM,2/19/1998,S,,20.5893,9.7092,3.7203,25.9147
C1,Feb 19 1998 12:00:00:000AM,2/19/1998,S,,20.5893,9.7092,3.7203,25.9147
C1,Feb 27 1998 12:00:00:000AM,2/27/1998,S,1.5330,20.5284,11.9003,4.6307,25.9319
C1,Feb 27 1998 12:00:00:000AM,2/27/1998,S,1.5330,20.5284,11.9003,4.6307,25.9319
C1,Mar 24 1998 12:00:00:000AM,3/24/1998,S,,20.1479,10.0692,4.2442,25.4104
C1,Mar 24 1998 12:00:00:000AM,3/24/1998,S,,20.1479,10.0692,4.2442,25.4104
C1,Jun 01 1998 12:00:00:000AM,6/1/1998,S,0.3400,,,,
C1,Jun 01 1998 12:00:00:000AM,6/1/1998,S,0.3400,,,,
C1,Jun 01 1998 12:00:00:000AM,6/1/1998,S,0.7320,17.1215,8.7827,17.2046,24.0959
C1,Jun 01 1998 12:00:00:000AM,6/1/1998,S,0.7320,17.1215,8.7827,17.2046,24.0959
C1,Jun 24 1998 12:00:00:000AM,6/24/1998,S,,16.7362,12.5683,20.4341,24.5921
C1,Jun 24 1998 12:00:00:000AM,6/24/1998,S,,16.7362,12.5683,20.4341,24.5921
C1,Jul 06 1998 12:00:00:000AM,7/6/1998,S,0.2760,16.6943,9.8027,20.9042,24.6939
C1,Jul 06 1998 12:00:00:000AM,7/6/1998,S,0.2760,16.6943,9.8027,20.9042,24.6939
C1,Jul 21 1998 12:00:00:000AM,7/21/1998,S,,16.8112,8.9690,22.2872,25.3273
C1,Jul 21 1998 12:00:00:000AM,7/21/1998,S,,16.8112,8.9690,22.2872,25.3273
C1,Aug 03 1998 12:00:00:000AM,8/3/1998,S,0.4840,16.6732,7.3075,22.8934,25.3622
C1,Aug 03 1998 12:00:00:000AM,8/3/1998,S,0.4840,16.6732,7.3075,22.8934,25.3622
C1,Aug 17 1998 12:00:00:000AM,8/17/1998,S,,16.6808,7.1972,23.4975,25.5935
C1,Aug 17 1998 12:00:00:000AM,8/17/1998,S,,16.6808,7.1972,23.4975,25.5935
C1,Aug 31 1998 12:00:00:000AM,8/31/1998,S,1.2840,16.8074,6.6469,23.8812,25.9044
C1,Aug 31 1998 12:00:00:000AM,8/31/1998,S,1.2840,16.8074,6.6469,23.8812,25.9044
C1,Sep 15 1998 12:00:00:000AM,9/15/1998,S,,17.5420,7.5493,22.4441,26.3502
C1,Sep 15 1998 12:00:00:000AM,9/15/1998,S,,17.5420,7.5493,22.4441,26.3502
C1,Oct 05 1998 12:00:00:000AM,10/5/1998,S,0.7030,18.8400,6.1300,19.8300,27.1600
C1,Oct 05 1998 12:00:00:000AM,10/5/1998,S,0.7030,18.8400,6.1300,19.8300,27.1600
C1,Nov 04 1998 12:00:00:000AM,11/4/1998,S,0.7040,20.1754,7.5753,14.1583,27.2483
C1,Nov 04 1998 12:00:00:000AM,11/4/1998,S,0.7040,20.1754,7.5753,14.1583,27.2483
C1,Sep 15 1998 12:00:00:000AM,9/15/1998,S,0.7230,,,,
C1,Sep 15 1998 12:00:00:000AM,9/15/1998,S,0.7230,,,,
C1,Jan 05 1999 12:00:00:000AM,1/5/1999,S,0.6540,21.8559,10.2630,3.7545,27.5123
C1,Jan 05 1999 12:00:00:000AM,1/5/1999,S,0.6540,21.8559,10.2630,3.7545,27.5123
C1,Feb 01 1999 12:00:00:000AM,2/1/1999,S,0.5900,21.2984,10.2335,3.0720,26.7466
C1,Feb 01 1999 12:00:00:000AM,2/1/1999,S,0.5900,21.2984,10.2335,3.0720,26.7466
C1,Feb 16 1999 12:00:00:000AM,2/16/1999,S,,20.7299,10.8402,3.2524,26.0484
C1,Feb 16 1999 12:00:00:000AM,2/16/1999,S,,20.7299,10.8402,3.2524,26.0484
C1,Mar 03 1999 12:00:00:000AM,3/3/1999,S,1.3620,21.0024,11.0867,2.7896,26.3512
C1,Mar 03 1999 12:00:00:000AM,3/3/1999,S,1.3620,21.0024,11.0867,2.7896,26.3512
C1,Mar 25 1999 12:00:00:000AM,3/25/1999,S,,20.4289,10.0210,4.4006,25.7812
C1,Mar 25 1999 12:00:00:000AM,3/25/1999,S,,20.4289,10.0210,4.4006,25.7812
C1,Apr 05 1999 12:00:00:000AM,4/5/1999,S,0.1840,19.9120,9.1924,7.2963,25.5008
C1,Apr 05 1999 12:00:00:000AM,4/5/1999,S,0.1840,19.9120,9.1924,7.2963,25.5008
C1,May 05 1999 12:00:00:000AM,5/5/1999,S,0.5600,19.1938,9.0292,12.2985,25.5274
C1,May 05 1999 12:00:00:000AM,5/5/1999,S,0.5600,19.1938,9.0292,12.2985,25.5274
C1,Jun 01 1999 12:00:00:000AM,6/1/1999,S,0.3970,17.4060,10.9460,17.7933,24.6416
C1,Jun 01 1999 12:00:00:000AM,6/1/1999,S,0.3970,17.4060,10.9460,17.7933,24.6416
C1,Jun 22 1999 12:00:00:000AM,6/22/1999,S,,17.4368,8.9791,21.0303,25.7166
C1,Jun 22 1999 12:00:00:000AM,6/22/1999,S,,17.4368,8.9791,21.0303,25.7166
C1,Jul 06 1999 12:00:00:000AM,7/6/1999,S,0.4890,17.6437,7.3751,21.0509,25.9967
C1,Jul 06 1999 12:00:00:000AM,7/6/1999,S,0.4890,17.6437,7.3751,21.0509,25.9967
C1,Jul 20 1999 12:00:00:000AM,7/20/1999,S,,17.6097,8.1116,22.5677,26.4843
C1,Jul 20 1999 12:00:00:000AM,7/20/1999,S,,17.6097,8.1116,22.5677,26.4843
C1,Aug 02 1999 12:00:00:000AM,8/2/1999,S,0.3120,17.4369,7.0255,24.2074,26.8629
C1,Aug 02 1999 12:00:00:000AM,8/2/1999,S,0.3120,17.4369,7.0255,24.2074,26.8629
C1,Aug 17 1999 12:00:00:000AM,8/17/1999,S,,17.8937,7.5082,23.9118,27.3568
C1,Aug 17 1999 12:00:00:000AM,8/17/1999,S,,17.8937,7.5082,23.9118,27.3568
C1,Aug 31 1999 12:00:00:000AM,8/31/1999,S,1.1860,18.5082,7.0321,22.3778,27.6041
C1,Aug 31 1999 12:00:00:000AM,8/31/1999,S,1.1860,18.5082,7.0321,22.3778,27.6041
C1,Sep 28 1999 12:00:00:000AM,9/28/1999,S,0.6970,18.5145,11.2762,20.4338,26.9358
C1,Sep 28 1999 12:00:00:000AM,9/28/1999,S,0.6970,18.5145,11.2762,20.4338,26.9358
C1,Jun 22 1999 12:00:00:000AM,6/22/1999,S,0.7660,,,,
C1,Jun 22 1999 12:00:00:000AM,6/22/1999,S,0.7660,,,,
C1,Dec 06 1999 12:00:00:000AM,12/6/1999,S,0.6510,21.2399,8.7346,9.8486,27.6453
C1,Dec 06 1999 12:00:00:000AM,12/6/1999,S,0.6510,21.2399,8.7346,9.8486,27.6453
C1,Jan 06 2000 12:00:00:000AM,1/6/2000,S,0.7300,21.6079,9.7266,5.6045,27.4155
C1,Jan 06 2000 12:00:00:000AM,1/6/2000,S,0.7300,21.6079,9.7266,5.6045,27.4155
C1,Feb 03 2000 12:00:00:000AM,2/3/2000,S,0.7370,22.2270,10.8200,0.6212,27.7392
C1,Feb 03 2000 12:00:00:000AM,2/3/2000,S,0.7370,22.2270,10.8200,0.6212,27.7392
C1,Feb 16 2000 12:00:00:000AM,2/16/2000,S,,22.1847,11.7871,1.0064,27.7067
C1,Feb 16 2000 12:00:00:000AM,2/16/2000,S,,22.1847,11.7871,1.0064,27.7067
C1,Mar 01 2000 12:00:00:000AM,3/1/2000,S,2.0340,21.9811,13.5011,2.6268,27.5651
C1,Mar 01 2000 12:00:00:000AM,3/1/2000,S,2.0340,21.9811,13.5011,2.6268,27.5651
C1,Mar 15 2000 12:00:00:000AM,3/15/2000,S,,21.4751,12.6659,4.4162,27.1031
C1,Mar 15 2000 12:00:00:000AM,3/15/2000,S,,21.4751,12.6659,4.4162,27.1031
C1,Apr 03 2000 12:00:00:000AM,4/3/2000,S,0.4700,21.3111,10.0301,6.2283,27.1241
C1,Apr 03 2000 12:00:00:000AM,4/3/2000,S,0.4700,21.3111,10.0301,6.2283,27.1241
C1,May 01 2000 12:00:00:000AM,5/1/2000,S,0.6880,19.7793,11.1682,10.5943,25.9171
C1,May 01 2000 12:00:00:000AM,5/1/2000,S,0.6880,19.7793,11.1682,10.5943,25.9171
C1,Jun 01 2000 12:00:00:000AM,6/1/2000,S,1.1310,18.3561,9.1169,16.1804,25.4196
C1,Jun 01 2000 12:00:00:000AM,6/1/2000,S,1.1310,18.3561,9.1169,16.1804,25.4196
C1,Jun 22 2000 12:00:00:000AM,6/22/2000,S,,17.0654,10.7017,19.5468,24.7366
C1,Jun 22 2000 12:00:00:000AM,6/22/2000,S,,17.0654,10.7017,19.5468,24.7366
C1,Jul 05 2000 12:00:00:000AM,7/5/2000,S,0.3520,17.7664,8.8232,20.2872,25.9012
C1,Jul 05 2000 12:00:00:000AM,7/5/2000,S,0.3520,17.7664,8.8232,20.2872,25.9012
C1,Jul 18 2000 12:00:00:000AM,7/18/2000,S,,17.7765,7.4728,21.3296,26.2677
C1,Jul 18 2000 12:00:00:000AM,7/18/2000,S,,17.7765,7.4728,21.3296,26.2677
C1,Jul 31 2000 12:00:00:000AM,7/31/2000,S,1.2330,16.7387,8.6115,22.1907,25.1972
C1,Jul 31 2000 12:00:00:000AM,7/31/2000,S,1.2330,16.7387,8.6115,22.1907,25.1972
C1,Aug 15 2000 12:00:00:000AM,8/15/2000,S,,16.9802,6.4105,22.2094,25.5232
C1,Aug 15 2000 12:00:00:000AM,8/15/2000,S,,16.9802,6.4105,22.2094,25.5232
C1,Aug 29 2000 12:00:00:000AM,8/29/2000,S,1.5480,17.4782,8.5036,22.1382,26.1567
C1,Aug 29 2000 12:00:00:000AM,8/29/2000,S,1.5480,17.4782,8.5036,22.1382,26.1567
C1,Oct 02 2000 12:00:00:000AM,10/2/2000,S,0.6170,18.6385,6.6492,19.3016,26.7269
C1,Oct 02 2000 12:00:00:000AM,10/2/2000,S,0.6170,18.6385,6.6492,19.3016,26.7269
C1,Nov 08 2000 12:00:00:000AM,11/8/2000,S,0.4760,20.4217,8.2144,13.3683,27.3696
C1,Nov 08 2000 12:00:00:000AM,11/8/2000,S,0.4760,20.4217,8.2144,13.3683,27.3696
C1,Dec 04 2000 12:00:00:000AM,12/4/2000,S,0.4700,21.4371,9.4684,7.6154,27.4951
C1,Dec 04 2000 12:00:00:000AM,12/4/2000,S,0.4700,21.4371,9.4684,7.6154,27.4951
C1,Jan 08 2001 12:00:00:000AM,1/8/2001,S,1.1660,21.9216,11.7252,1.9655,27.4394
C1,Jan 08 2001 12:00:00:000AM,1/8/2001,S,1.1660,21.9216,11.7252,1.9655,27.4394
C1,Jun 01 2000 12:00:00:000AM,6/1/2000,S,1.1580,,,1.7152,
C1,Jun 01 2000 12:00:00:000AM,6/1/2000,S,1.1580,,,1.7152,
C1,Mar 01 2001 12:00:00:000AM,3/1/2001,S,0.6000,21.6527,13.3681,1.7935,27.0914
C1,Mar 01 2001 12:00:00:000AM,3/1/2001,S,0.6000,21.6527,13.3681,1.7935,27.0914
C1,Apr 03 2001 12:00:00:000AM,4/3/2001,S,0.6780,20.5062,9.9984,4.5760,25.8978
C1,Apr 03 2001 12:00:00:000AM,4/3/2001,S,0.6780,20.5062,9.9984,4.5760,25.8978
C1,Jul 18 2000 12:00:00:000AM,7/18/2000,S,0.7700,,,,
C1,Jul 18 2000 12:00:00:000AM,7/18/2000,S,0.7700,,,,
C1,Jun 04 2001 12:00:00:000AM,6/4/2001,S,0.6460,18.1732,9.8924,16.1006,25.1586
C1,Jun 04 2001 12:00:00:000AM,6/4/2001,S,0.6460,18.1732,9.8924,16.1006,25.1586
C1,Jun 21 2001 12:00:00:000AM,6/21/2001,S,,16.9510,9.4891,20.8206,25.0045
C1,Jun 21 2001 12:00:00:000AM,6/21/2001,S,,16.9510,9.4891,20.8206,25.0045
C1,Jul 06 2001 12:00:00:000AM,7/6/2001,S,0.9230,17.6746,10.7529,20.3701,25.8078
C1,Jul 06 2001 12:00:00:000AM,7/6/2001,S,0.9230,17.6746,10.7529,20.3701,25.8078
C1,Jul 24 2001 12:00:00:000AM,7/24/2001,S,,17.7641,6.6796,21.6690,26.3692
C1,Jul 24 2001 12:00:00:000AM,7/24/2001,S,,17.7641,6.6796,21.6690,26.3692
C1,Aug 06 2001 12:00:00:000AM,8/6/2001,S,0.2850,17.1931,8.2089,23.6106,26.3148
C1,Aug 06 2001 12:00:00:000AM,8/6/2001,S,0.2850,17.1931,8.2089,23.6106,26.3148
C1,Aug 20 2001 12:00:00:000AM,8/20/2001,S,,17.3239,8.3816,23.9734,26.7362
C1,Aug 20 2001 12:00:00:000AM,8/20/2001,S,,17.3239,8.3816,23.9734,26.7362
C1,Sep 04 2001 12:00:00:000AM,9/4/2001,S,0.8950,17.9739,8.0805,22.8210,27.0581
C1,Sep 04 2001 12:00:00:000AM,9/4/2001,S,0.8950,17.9739,8.0805,22.8210,27.0581
C1,Sep 24 2001 12:00:00:000AM,9/24/2001,S,,18.1306,11.2184,22.1408,27.0201
C1,Sep 24 2001 12:00:00:000AM,9/24/2001,S,,18.1306,11.2184,22.1408,27.0201
C1,Oct 02 2001 12:00:00:000AM,10/2/2001,S,1.3260,19.1563,9.4584,19.3433,27.4208
C1,Oct 02 2001 12:00:00:000AM,10/2/2001,S,1.3260,19.1563,9.4584,19.3433,27.4208
C1,Nov 08 2001 12:00:00:000AM,11/8/2001,S,0.9560,21.4314,8.1933,13.6412,28.7463
C1,Nov 08 2001 12:00:00:000AM,11/8/2001,S,0.9560,21.4314,8.1933,13.6412,28.7463
C1,Dec 03 2001 12:00:00:000AM,12/3/2001,S,0.4420,21.6122,7.8081,11.7399,28.5246
C1,Dec 03 2001 12:00:00:000AM,12/3/2001,S,0.4420,21.6122,7.8081,11.7399,28.5246
C1,Jan 11 2002 12:00:00:000AM,1/11/2002,S,0.7580,22.6551,11.1592,4.7399,28.6302
C1,Jan 11 2002 12:00:00:000AM,1/11/2002,S,0.7580,22.6551,11.1592,4.7399,28.6302
C1,Feb 04 2002 12:00:00:000AM,2/4/2002,S,1.3810,23.0243,10.8274,4.3804,29.0529
C1,Feb 04 2002 12:00:00:000AM,2/4/2002,S,1.3810,23.0243,10.8274,4.3804,29.0529
C1,Feb 19 2002 12:00:00:000AM,2/19/2002,S,,22.9328,12.1775,4.3282,28.9314
C1,Feb 19 2002 12:00:00:000AM,2/19/2002,S,,22.9328,12.1775,4.3282,28.9314
C1,Mar 01 2002 12:00:00:000AM,3/1/2002,S,1.3120,22.7617,11.3549,4.9172,28.7867
C1,Mar 01 2002 12:00:00:000AM,3/1/2002,S,1.3120,22.7617,11.3549,4.9172,28.7867
C1,Mar 21 2002 12:00:00:000AM,3/21/2002,S,,22.4542,9.9737,5.6196,28.4894
C1,Mar 21 2002 12:00:00:000AM,3/21/2002,S,,22.4542,9.9737,5.6196,28.4894
C1,Apr 02 2002 12:00:00:000AM,4/2/2002,S,0.5700,22.3845,10.0676,6.4224,28.5148
C1,Apr 02 2002 12:00:00:000AM,4/2/2002,S,0.5700,22.3845,10.0676,6.4224,28.5148
C1,May 06 2002 12:00:00:000AM,5/6/2002,S,1.2060,20.9523,9.5243,11.5516,27.6314
C1,May 06 2002 12:00:00:000AM,5/6/2002,S,1.2060,20.9523,9.5243,11.5516,27.6314
C1,Jun 04 2002 12:00:00:000AM,6/4/2002,S,0.3010,19.1977,8.1965,17.7344,26.9719
C1,Jun 04 2002 12:00:00:000AM,6/4/2002,S,0.3010,19.1977,8.1965,17.7344,26.9719
C1,Jun 26 2002 12:00:00:000AM,6/26/2002,S,,18.1821,8.4467,21.2930,26.7904
C1,Jun 26 2002 12:00:00:000AM,6/26/2002,S,,18.1821,8.4467,21.2930,26.7904
C1,Jul 08 2002 12:00:00:000AM,7/8/2002,S,0.4170,17.9484,7.3814,21.9612,26.7155
C1,Jul 08 2002 12:00:00:000AM,7/8/2002,S,0.4170,17.9484,7.3814,21.9612,26.7155
C1,Jul 22 2002 12:00:00:000AM,7/22/2002,S,,17.9939,6.5624,22.9093,27.1168
C1,Jul 22 2002 12:00:00:000AM,7/22/2002,S,,17.9939,6.5624,22.9093,27.1168
C1,Aug 05 2002 12:00:00:000AM,8/5/2002,S,0.2510,18.3545,10.2892,22.5639,27.4681
C1,Aug 05 2002 12:00:00:000AM,8/5/2002,S,0.2510,18.3545,10.2892,22.5639,27.4681
C1,Sep 09 2002 12:00:00:000AM,9/9/2002,S,1.3660,18.5399,,22.5126,27.6947
C1,Sep 09 2002 12:00:00:000AM,9/9/2002,S,1.3660,18.5399,,22.5126,27.6947
C1,Sep 24 2001 12:00:00:000AM,9/24/2001,S,0.4970,,7.7385,,
C1,Sep 24 2001 12:00:00:000AM,9/24/2001,S,0.4970,,7.7385,,
C1,Nov 05 2002 12:00:00:000AM,11/5/2002,S,0.5050,20.8696,8.0808,12.0172,27.6291
C1,Nov 05 2002 12:00:00:000AM,11/5/2002,S,0.5050,20.8696,8.0808,12.0172,27.6291
C1,Dec 09 2002 12:00:00:000AM,12/9/2002,S,0.4430,22.0345,12.6030,6.1556,28.0319
C1,Dec 09 2002 12:00:00:000AM,12/9/2002,S,0.4430,22.0345,12.6030,6.1556,28.0319
